0 1 2 3 4 5
0 1 14 75 87 111
0 4 12 41 102 121
0 38 39 58 59 133
1 6 35 37 78 80
1 48 76 94 131 139
2 4 55 94 134 140
2 5 108 109 115 126
2 8 70 78 88 130
2 12 38 57 94 148
2 22 44 117 134 146
2 35 57 109 139 149
2 45 55 88 132 143
4 46 53 82 103 114
5 31 33 50 57 140
6 11 23 33 102 117
7 28 59 70 82 106
7 35 42 59 78 106
8 10 17 69 82 93
8 41 56 65 140 148
9 17 27 48 71 122
9 23 38 62 97 136
9 57 74 78 107 117
11 20 24 91 101 139
12 18 38 39 47 52
13 19 27 94 100 147
14 22 45 56 71 88
15 25 27 71 85 137
15 73 93 105 107 113
15 78 91 107 112 115
16 62 67 73 76 113
16 63 77 83 96 141
17 20 52 62 74 125
19 25 40 73 77 104
20 56 75 129 136 148
21 27 59 66 70 131
21 33 46 69 96 141
22 33 59 80 112 128
22 52 56 86 116 124
23 25 32 73 102 133
25 31 100 109 124 137
26 34 39 75 123 130
26 42 58 61 73 143
27 32 40 64 79 91
28 71 86 124 129 132
30 35 80 120 126 142
30 45 72 99 105 114
30 53 71 78 82 101
31 34 104 107 118 131
31 68 77 95 110 138
33 40 54 68 89 91
36 51 62 113 129 139
36 53 58 82 93 139
36 62 67 77 108 135
37 45 53 69 128 148
38 39 59 70 74 104
39 66 94 122 128 139
49 60 77 80 87 134
49 66 70 92 108 138
51 54 71 104 119 147
55 56 64 85 88 138
64 67 88 91 140 143
66 86 89 117 133 135
71 93 118 121 143 146
144 145 146 147 148 150
